サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,,no,II_
7,C,コカンスゲ,4,0,0,,,303,0
7,C,ツルアリドオシ,,,0.5,0.5,,304,
7,C,チゴユリ,,,0.5,0.5,,305,
7,S,チシマザサ,8,30,25,23,,306,6
7,,エゾユズリハ,,,,1,,,
7,,ミヤマウズラ,,,,0.5,,,
7,,トチノキ,,,,0.5,,,
7,,ミヤマイタチシダ,,,,0.5,,,
8,B2,アオダモ,0,1,0.5,1,,311,1
8,B2,ウリハダカエデ,0,6,0,4,,316,4
8,B2,ウワミズザクラ,3,0,0.5,0.5,,317,0
8,B2,オオカメノキ,6,30,30,35,,318,6
8,B2,オオバクロモジ,4,5,5,19,,319,4
8,B2,コシアブラ,0,1,2,4,,320,1
8,B2,ハイイヌガヤ,1,0,0.5,0.5,,321,0
8,B2,ハイイヌツゲ,0,0.5,0,0.5,,322,0.5
8,B2,ヒメアオキ,1,0,0.5,0.5,,323,0
8,B2,ブナ,4,10,1,0.5,,324,5
8,B2,ミズキ,0.5,0,0,,,325,0
8,B2,ヤマウルシ,0,1,2,4,,326,1
8,B2,マユミ,0.5,0,0,,,327,0
8,B2,イタヤカエデ,,,0.5,,,328,
8,B2,メイゲツカエデ,,,0.5,0.5,,329,
8,B2,サワフタギ,,,1,1.5,,330,
8,B2,トチノキ,,,0.5,,,331,
8,B2,イタヤカエデ,,,0.5,,,332,
8,B2,ヒメモチ,,,0.5,0.5,,333,
8,C,シラネワラビ,5,20,0.5,14,,334,6
8,C,タケシマラン,0,1,0.5,0.5,,335,1
8,C,チゴユリ,0.5,0.5,0.5,0.5,,336,0.5
8,C,ツクバネソウ,0,0.5,0.5,,,337,0.5
8,C,ツルアリドオシ,0.5,0.5,0.5,0.5,,338,0.5
8,C,ナライシダ,0,3,0.5,0.5,,339,3
8,C,ミヤマカンスゲ,0,10,3,4.5,,340,5
8,C,ヤマソテツ,1,2,1,0.5,,341,2
8,C,ユキザサ,3,4,0.5,0.3,,342,3
8,C,コイワカガミ,0.5,0,0,,,343,0
8,C,コカンスゲ,4,0,0,,,344,0
8,C,ホウチャクソウ,1,0,0,,,345,0
8,S,チシマザサ,7,35,15,11,,346,7
8,,チゴユリ,,,,4.5,,,
8,,ホオノキ,,,,1.5,,,
8,,タムシバ,,,,0.5,,,
9,B2,ウリハダカエデ,0,5,1,1,,349,4
9,B2,ウワミズザクラ,4,2,2,2,,357,2
9,B2,オオカメノキ,5,12,25,21,,358,5
9,B2,オオバクロモジ,4,2,4,7,,359,2
9,B2,コシアブラ,0,0.5,1,,,360,0.5
9,B2,サワフタギ,0,3,3,7,,361,3
9,B2,タムシバ,0,0.5,0.5,0.5,,362,0.5
9,B2,ツノハシバミ,0.5,0,0,,,363,0
9,B2,ハイイヌガヤ,0.5,0,0,,,364,0
9,B2,ハイイヌツゲ,0.5,0,0,,,365,0
9,B2,ヒメモチ,0,0.5,0.5,0.5,,366,0.5
9,B2,ブナ,6,25,5,58,,367,6
9,B2,ミズキ,3,0,0,,,368,0
9,B2,メイゲツカエデ,0,4,5,5,,369,3
9,B2,ヤマウルシ,0,0.5,0.5,0.5,,370,0.5
9,B2,マユミ,4,0,0,,,371,0
9,C,エンレイソウ,0,0.5,0,,,372,0.5
9,C,シラネワラビ,6,20,25,30,,373,6
9,C,タチシオデ,0,0.5,0,,,374,0.5
9,C,ツルアリドオシ,0.5,0,0,,,375,0
9,C,ミヤマカンスゲ,0,10,12,8,,376,5
9,C,ヤマソテツ,4,4,3,5,,377,3
9,C,ユキザサ,3,4,1,1,,378,3
9,C,コカンスゲ,4,0,0,,,379,0
9,C,ヒロハユキザサ,,,0.5,0.5,,380,
9,C,ヤマイヌワラビ,,,0.5,0.5,,381,
9,S,チシマザサ,8,50,10,12,,382,8
,,ホオノキ,,,,1,,,
,,コマユミ,,,,0.5,,,
10,B2,アオダモ,0,0.5,0.5,,,387,0.5
10,B2,イタヤカエデ,0.5,0,0,,,397,0
10,B2,ウリハダカエデ,0,5,2,2,,398,4
10,B2,ウワミズザクラ,4,6,5,5,,399,4
10,B2,オオカメノキ,5,15,10,4,,400,5
10,B2,オオバクロモジ,0,2,6,7,,401,2
10,B2,サワフタギ,0,0.5,0,0.5,,402,0.5
10,B2,トチノキ,0,0.5,0,,,403,0.5
10,B2,ハイイヌツゲ,0.5,0,0,,,404,0
10,B2,ヒメモチ,0,2,2,2,,405,2
10,B2,ホオノキ,0,3,1,1,,406,3
10,B2,ミズキ,3,0,0.5,0.5,,407,0
10,B2,メイゲツカエデ,0,3,3,,,408,3
10,B2,ヤマウルシ,1,0.5,1,1,,409,0.5
10,B2,マユミ,3,0,0,,,410,0
10,C,ギンリョウソウ,0,0.5,0.5,,,411,0.5
10,C,シラネワラビ,5,18,20,15,,412,5
10,C,タケシマラン,0,0.5,0,,,413,0.5
10,C,タニギキョウ,0,0.5,0,,,414,0.5
10,C,チゴユリ,3,3,1,1,,415,3
10,C,ツクバネソウ,0,0.5,0,,,416,0.5
10,C,ツルアリドオシ,0.5,1,0,,,417,1
10,C,ヒメカンアオイ,2,0,0.5,,,418,0
10,C,ミヤマカンスゲ,0,5,15,8,,419,4
10,C,ヤマイヌワラビ,0,0.5,0,0.5,,420,0.5
10,C,ヤマソテツ,4,5,4,13,,421,4
10,C,ユキザサ,4,4,1,1,,422,3
10,C,ホウチャクソウ,0.5,0,0,,,423,0
10,C,ツルリンドウ,,,0.5,0.5,,424,
10,C,ミヤマウズラ,,,0.5,,,425,
10,C,マイヅルソウ,,,0.5,,,426,
10,S,チシマザサ,8,50,10,13,,427,8
,,コシアブラ,,,,2,,,
,,エンレイソウ,,,,0.5,,,
,,ブナ,,,,5,,,
,,ツリバナ,,,,0.5,,,
,,サンカヨウ,,,,0.5,,,
,,タチシオデ,,,,0.5,,,
,,ヒメアオキ,,,,0.5,,,
,,トチノキ,,,,0.5,,,
11,B2,アオダモ,0,1,1,1,,431,1
11,B2,イタヤカエデ,0.5,1,0.5,0.5,,440,1
11,B2,ウリハダカエデ,0,2,1,1,,441,2
11,B2,ウワミズザクラ,3,0,0,0,,442,0
11,B2,オオカメノキ,5,18,30,20,,443,5
11,B2,オオバクロモジ,5,6,10,13,,444,4
11,B2,コシアブラ,0,0.5,1,3,,445,0.5
11,B2,コマユミ,4,0.5,0.5,0.2,,446,0.5
11,B2,ツノハシバミ,0,0.5,0,0,,447,0.5
11,B2,ツリバナ,0,0.5,0.5,0,,448,0.5
11,B2,トチノキ,0.5,0,0.5,0,,449,0
11,B2,ノリウツギ,2,0,0,0,,450,0
11,B2,ハイイヌガヤ,1,6,1,2,,451,4
11,B2,ハイイヌツゲ,0,1,0,0,,452,1
11,B2,ヒメアオキ,0,5,5,3,,453,4
11,B2,ヒメモチ,0,2,2,2,,454,2
11,B2,ミズキ,4,0.5,0.5,,,455,0.5
11,B2,メイゲツカエデ,0,1,1,1,,456,1
11,B2,マユミ,1,0,0,,,457,0
11,B2,ブナ,,,3,2,,458,
11,B2,ヤマウルシ,,,0.5,3,,459,
11,C,クサアジサイ,0,1,0.5,,,460,1
11,C,シラネワラビ,5,15,30,30,,461,5
11,C,タニギキョウ,0,0.5,0.5,,,462,0.5
11,C,チゴユリ,0.5,2,1,0.2,,463,2
11,C,ツルアリドオシ,3,3,0.5,0.5,,464,3
11,C,ナライシダ,0,3,0.5,0,,465,3
11,C,ミヤマウズラ,0,0.5,0.5,0.2,,466,0.5
