layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
B2,タムシバ,bs,0,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.19230769230769232,-,Ⅰ,Ⅰ,Ⅱ,Ⅰ,0,0.02,0.14,0.188,0.084,0,1.2403473458920846,4.6409548089225705,6.586699885725429,4.019184762342501,0
B2,ツノハシバミ,bs,0.4230769230769231,0.2692307692307692,0.3076923076923077,0.19230769230769232,0.19230769230769232,Ⅲ,Ⅱ,Ⅱ,Ⅰ,Ⅰ,0.3,0.12,0.16,0.26,0.168,11.26601424298216,5.683985600588051,7.0164641544562345,7.0710678118654755,5.683985600588051,1
B2,ツリバナ,bs,0,0.19230769230769232,0.38461538461538464,0.46153846153846156,0.46153846153846156,-,Ⅰ,Ⅱ,Ⅲ,Ⅲ,0,0.12,0.336,0.224,0.0984,0,4.803844614152615,11.367971201176102,10.16782254883588,6.739093753271624,0
B2,トチノキ,bl,0.07692307692307693,0.4230769230769231,0.5769230769230769,0.6923076923076923,0.38461538461538464,Ⅰ,Ⅲ,Ⅲ,Ⅳ,Ⅱ,0.02,0.22,0.248,0.23600000000000002,0.104,1.2403473458920846,9.64763821237732,11.961476626107792,12.782199160731901,6.324555320336758,1
B2,ナナカマド,bs,0.07692307692307693,0.4230769230769231,0.4230769230769231,0.46153846153846156,0.38461538461538464,Ⅰ,Ⅲ,Ⅲ,Ⅲ,Ⅱ,0.02,0.26,0.34,0.476,0.20400000000000001,1.2403473458920846,10.488088481701514,11.99358803053339,14.822021039396336,8.857851797221404,1
B2,ノリウツギ,bs,0.23076923076923078,0.3076923076923077,0.4230769230769231,0.38461538461538464,0.46153846153846156,Ⅱ,Ⅱ,Ⅲ,Ⅱ,Ⅲ,0.2,0.32,0.44,0.48,0.24,6.793662204867575,9.922778767136677,13.643820804812927,13.58732440973515,10.524696231684349,1
B2,ハイイヌガヤ,cs,0.5,0.5,0.5769230769230769,0.6153846153846154,0.6923076923076923,Ⅲ,Ⅲ,Ⅲ,Ⅳ,Ⅳ,0.6,2.06,0.596,1.032,0.464,17.32050807568877,32.09361307176243,18.54308911282459,25.200732590084023,17.922911851336245,1
B2,ハウチワカエデ,bl,0.07692307692307693,0.4230769230769231,0.5769230769230769,0.6923076923076923,0.6538461538461539,Ⅰ,Ⅲ,Ⅲ,Ⅳ,Ⅳ,0.02,1.9,1.724,1.232,0.708,1.2403473458920846,28.35218075997248,31.537523438205866,29.204846805334842,21.515647257823243,1
B2,ハリギリ,bl,0,0.07692307692307693,0,0,0,-,Ⅰ,-,-,-,0,0.24,0,0,0,0,4.296689244236597,0,0,0,0
B2,ヒメアオキ,bs,0.5,0.6153846153846154,0.8461538461538461,0.8846153846153846,0.8076923076923077,Ⅲ,Ⅳ,Ⅴ,Ⅴ,Ⅴ,1.44,2.3,2.34,2.016,1.556,26.832815729997474,37.62159772503841,44.49719092257397,42.2301387090383,35.45094118312278,1
B2,ブナ,bl,0.6153846153846154,0.7692307692307693,0.9230769230769231,1,0.8846153846153846,Ⅳ,Ⅳ,Ⅴ,Ⅴ,Ⅴ,3.08,9.06,6.34,3.72,2.444,43.53601515279752,83.481918816177,76.50037707297717,60.99180272790762,46.497311750250674,1
B2,ホオノキ,bl,0.11538461538461539,0.23076923076923078,0.2692307692307692,0.34615384615384615,0.23076923076923078,Ⅰ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,0.06,0.44,0.84,0.56,0.288,2.631174057921087,10.076629473115577,15.038412354828088,13.922864426767713,8.152394645841088,1
B2,マユミ,bs,0.5769230769230769,0,0,0.11538461538461539,0,Ⅲ,-,-,Ⅰ,-,1.74,0,0,0.024,0,31.683531271721492,0,0,1.6641005886756872,0,0
B2,ミズキ,bl,0.9615384615384616,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.3076923076923077,Ⅴ,Ⅰ,Ⅱ,Ⅱ,Ⅱ,2.66,0.08,0.128,0.3232,0.16,50.573632534081504,3.5082320772281173,6.2757163244218885,8.636238497437143,7.0164641544562345,1
