サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,X,no,II_
7,C,ヤマソテツ,1,2,3,5,NA,300,2
7,C,ユキザサ,0.5,2,1,0.5,NA,301,2
7,C,コイワカガミ,1,0,0,,NA,302,0
7,C,コカンスゲ,4,0,0,,NA,303,0
7,C,ツルアリドオシ,NA,NA,0.5,0.5,NA,304,NA
7,C,チゴユリ,NA,NA,0.5,0.5,NA,305,NA
7,S,チシマザサ,8,30,25,23,NA,306,6
7,,エゾユズリハ,NA,NA,,1,NA,NA,NA
7,,ミヤマウズラ,NA,NA,,0.5,NA,NA,NA
7,,トチノキ,NA,NA,,0.5,NA,NA,NA
7,,ミヤマイタチシダ,NA,NA,,0.5,NA,NA,NA
8,B2,アオダモ,0,1,0.5,1,NA,311,1
8,B2,ウリハダカエデ,0,6,0,4,NA,316,4
8,B2,ウワミズザクラ,3,0,0.5,0.5,NA,317,0
8,B2,オオカメノキ,6,30,30,35,NA,318,6
8,B2,オオバクロモジ,4,5,5,19,NA,319,4
8,B2,コシアブラ,0,1,2,4,NA,320,1
8,B2,ハイイヌガヤ,1,0,0.5,0.5,NA,321,0
8,B2,ハイイヌツゲ,0,0.5,0,0.5,NA,322,0.5
8,B2,ヒメアオキ,1,0,0.5,0.5,NA,323,0
8,B2,ブナ,4,10,1,0.5,NA,324,5
8,B2,ミズキ,0.5,0,0,,NA,325,0
8,B2,ヤマウルシ,0,1,2,4,NA,326,1
8,B2,マユミ,0.5,0,0,,NA,327,0
8,B2,イタヤカエデ,NA,NA,0.5,,NA,328,NA
8,B2,メイゲツカエデ,NA,NA,0.5,0.5,NA,329,NA
8,B2,サワフタギ,NA,NA,1,1.5,NA,330,NA
8,B2,トチノキ,NA,NA,0.5,,NA,331,NA
8,B2,イタヤカエデ,NA,NA,0.5,,NA,332,NA
8,B2,ヒメモチ,NA,NA,0.5,0.5,NA,333,NA
8,C,シラネワラビ,5,20,0.5,14,NA,334,6
8,C,タケシマラン,0,1,0.5,0.5,NA,335,1
8,C,チゴユリ,0.5,0.5,0.5,0.5,NA,336,0.5
8,C,ツクバネソウ,0,0.5,0.5,,NA,337,0.5
8,C,ツルアリドオシ,0.5,0.5,0.5,0.5,NA,338,0.5
8,C,ナライシダ,0,3,0.5,0.5,NA,339,3
8,C,ミヤマカンスゲ,0,10,3,4.5,NA,340,5
8,C,ヤマソテツ,1,2,1,0.5,NA,341,2
8,C,ユキザサ,3,4,0.5,0.3,NA,342,3
8,C,コイワカガミ,0.5,0,0,,NA,343,0
8,C,コカンスゲ,4,0,0,,NA,344,0
8,C,ホウチャクソウ,1,0,0,,NA,345,0
8,S,チシマザサ,7,35,15,11,NA,346,7
8,,チゴユリ,NA,NA,,4.5,NA,NA,NA
8,,ホオノキ,NA,NA,,1.5,NA,NA,NA
8,,タムシバ,NA,NA,,0.5,NA,NA,NA
9,B2,ウリハダカエデ,0,5,1,1,NA,349,4
