layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
C,ゴゼンタチバナ,h,0.6153846153846154,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.7307692307692307,Ⅳ,Ⅳ,Ⅳ,Ⅳ,Ⅳ,1.46,1.4,0.856,0.408,0.392,29.974348007280135,31.985573671218134,25.01076691224124,16.806592113261342,16.92517469515569,1
C,ゴマナ,h,0.07692307692307693,0.19230769230769232,0.11538461538461539,0.23076923076923078,0.23076923076923078,Ⅰ,Ⅰ,Ⅰ,Ⅱ,Ⅱ,0.04,0.98,0.24,0.864,0.3,1.7541160386140586,13.72812945967288,5.262348115842174,14.12036172994925,8.320502943378438,1
C,サカゲイノデ,f,0,0,0.11538461538461539,0.19230769230769232,0.23076923076923078,-,-,Ⅰ,Ⅰ,Ⅱ,0,0,0.04,0.104,0.224,0,0,2.1483446221182985,4.47213595499958,7.189736274183336,0
C,サンカヨウ,h,0.23076923076923078,0.3076923076923077,0.4230769230769231,0.23076923076923078,0.3076923076923077,Ⅱ,Ⅱ,Ⅲ,Ⅱ,Ⅱ,0.1,0.14,0.152,0.06,0.156,4.803844614152615,6.563301233138936,8.019207710721322,3.7210420376762534,6.928203230275509,1
C,シノブカグマ,f,0.23076923076923078,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.5769230769230769,Ⅱ,Ⅲ,Ⅲ,Ⅲ,Ⅲ,0.32,0.24,0.32,0.148,0.12000000000000001,8.593378488473194,10.076629473115577,12.152872405004,8.264846780654333,8.320502943378438,1
C,シモツケソウ,h,0.11538461538461539,0.07692307692307693,0.07692307692307693,0,0,Ⅰ,Ⅰ,Ⅰ,-,-,0.14,0.08,0.02,0,0,4.019184762342501,2.4806946917841692,1.2403473458920846,0,0,0
C,ショウジョウバカマ,h,0.6538461538461539,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,Ⅳ,Ⅳ,Ⅳ,Ⅳ,Ⅳ,0.94,0.92,0.276,0.20400000000000001,0.4,24.79143772788066,25.2373349806012,13.823057660189482,11.884055251923446,17.541160386140582,1
C,シラネセンキュウ,h,0,0,0.11538461538461539,0.07692307692307693,0.11538461538461539,-,-,Ⅰ,Ⅰ,Ⅰ,0,0,0.044,0.008,0.024,0,0,2.253202848596432,0.7844645405527361,1.6641005886756872,0
C,シラネニンジン,h,0,0,0,0.15384615384615385,0.07692307692307693,-,-,-,Ⅰ,Ⅰ,0,0,0,0.064,0.004,0,0,0,3.1378581622109443,0.554700196225229,0
C,シラネワラビ,f,0.5,0.5384615384615384,0.6538461538461539,0.6153846153846154,0.6538461538461539,Ⅲ,Ⅲ,Ⅳ,Ⅳ,Ⅳ,1.1,1.34,1.24,1.532,1.76,23.452078799117146,26.86146797065383,28.474009741679,30.704547395609513,33.92298970859188,1
C,スギナ,f,0,0,0.11538461538461539,0.11538461538461539,0,-,-,Ⅰ,Ⅰ,-,0,0,0.008,0.008,0,0,0,0.9607689228305228,0.9607689228305228,0,0
C,セイヨウタンポポ,h,0.07692307692307693,0,0,0,0,Ⅰ,-,-,-,-,0.08,0,0,0,0,2.4806946917841692,0,0,0,0,0
C,ゼンマイ,f,0,0,0,0,0.07692307692307693,-,-,-,-,Ⅰ,0,0,0,0,0.004,0,0,0,0,0.554700196225229,0
C,タケシマラン,h,0,0.19230769230769232,0.23076923076923078,0.2692307692307692,0.8846153846153846,-,Ⅰ,Ⅱ,Ⅱ,Ⅴ,0,0.24,0.12,0.032,0.41600000000000004,0,6.793662204867575,5.262348115842174,2.935197542821371,19.183326093250876,0
C,タテヤマアザミ,h,0.19230769230769232,0.34615384615384615,0.23076923076923078,0.15384615384615385,0.23076923076923078,Ⅰ,Ⅱ,Ⅱ,Ⅰ,Ⅱ,0.6,2.22,1.16,0.46,0.096,10.741723110591492,27.721138837745073,16.3613051952559,8.412444993533732,4.706787243316417,1
C,タニギキョウ,h,0.07692307692307693,0.11538461538461539,0,0.11538461538461539,0.15384615384615385,Ⅰ,Ⅰ,-,Ⅰ,Ⅰ,0.02,0.08,0,0.04,0.012,1.2403473458920846,3.038218101251,0,2.1483446221182985,1.358732440973515,0
